code,description,sex,diagnosis_count,category
A00,Cholera,Male,9.0,Certain infectious and parasitic diseases (A00–B99)
A01,Typhoid and paratyphoid fevers,Male,552.0,Certain infectious and parasitic diseases (A00–B99)
A02,Other salmonella infections,Male,1014.0,Certain infectious and parasitic diseases (A00–B99)
A03,Shigellosis,Male,424.0,Certain infectious and parasitic diseases (A00–B99)
A04,Other bacterial intestinal infections,Male,13214.0,Certain infectious and parasitic diseases (A00–B99)
A05,"Other bacterial foodborne intoxications, not elsewhere classified",Male,360.0,Certain infectious and parasitic diseases (A00–B99)
A06,Amoebiasis,Male,47.0,Certain infectious and parasitic diseases (A00–B99)
A07,Other protozoal intestinal diseases,Male,281.0,Certain infectious and parasitic diseases (A00–B99)
A08,Viral and other specified intestinal infections,Male,14013.0,Certain infectious and parasitic diseases (A00–B99)
A09,Other gastroenteritis and colitis of infectious and unspecified origin,Male,57354.0,Certain infectious and parasitic diseases (A00–B99)
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",Male,1769.0,Certain infectious and parasitic diseases (A00–B99)
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",Male,960.0,Certain infectious and parasitic diseases (A00–B99)
A17,Tuberculosis of nervous system,Male,222.0,Certain infectious and parasitic diseases (A00–B99)
A18,Tuberculosis of other organs,Male,597.0,Certain infectious and parasitic diseases (A00–B99)
A19,Miliary tuberculosis,Male,376.0,Certain infectious and parasitic diseases (A00–B99)
A21,Tularaemia,Male,3.0,Certain infectious and parasitic diseases (A00–B99)
A22,Anthrax,Male,2.0,Certain infectious and parasitic diseases (A00–B99)
A23,Brucellosis,Male,11.0,Certain infectious and parasitic diseases (A00–B99)
A24,Glanders and melioidosis,Male,6.0,Certain infectious and parasitic diseases (A00–B99)
A25,Rat-bite fevers,Male,3.0,Certain infectious and parasitic diseases (A00–B99)
A26,Erysipeloid,Male,11.0,Certain infectious and parasitic diseases (A00–B99)
A27,Leptospirosis,Male,140.0,Certain infectious and parasitic diseases (A00–B99)
A28,"Other zoonotic bacterial diseases, not elsewhere classified",Male,22.0,Certain infectious and parasitic diseases (A00–B99)
A30,Leprosy [Hansen disease],Male,4.0,Certain infectious and parasitic diseases (A00–B99)
A31,Infection due to other mycobacteria,Male,464.0,Certain infectious and parasitic diseases (A00–B99)
A32,Listeriosis,Male,140.0,Certain infectious and parasitic diseases (A00–B99)
A35,Other tetanus,Male,16.0,Certain infectious and parasitic diseases (A00–B99)
A36,Diphtheria,Male,19.0,Certain infectious and parasitic diseases (A00–B99)
A37,Whooping cough,Male,255.0,Certain infectious and parasitic diseases (A00–B99)
A38,Scarlet fever,Male,720.0,Certain infectious and parasitic diseases (A00–B99)
A39,Meningococcal infection,Male,390.0,Certain infectious and parasitic diseases (A00–B99)
A40,Streptococcal sepsis,Male,6107.0,Certain infectious and parasitic diseases (A00–B99)
A41,Other sepsis,Male,124333.0,Certain infectious and parasitic diseases (A00–B99)
A42,Actinomycosis,Male,33.0,Certain infectious and parasitic diseases (A00–B99)
A43,Nocardiosis,Male,23.0,Certain infectious and parasitic diseases (A00–B99)
A44,Bartonellosis,Male,1.0,Certain infectious and parasitic diseases (A00–B99)
A46,Erysipelas,Male,137.0,Certain infectious and parasitic diseases (A00–B99)
A48,"Other bacterial diseases, not elsewhere classified",Male,679.0,Certain infectious and parasitic diseases (A00–B99)
A49,Bacterial infection of unspecified site,Male,11083.0,Certain infectious and parasitic diseases (A00–B99)
A50,Congenital syphilis,Male,7.0,Certain infectious and parasitic diseases (A00–B99)
A51,Early syphilis,Male,100.0,Certain infectious and parasitic diseases (A00–B99)
A52,Late syphilis,Male,331.0,Certain infectious and parasitic diseases (A00–B99)
A53,Other and unspecified syphilis,Male,95.0,Certain infectious and parasitic diseases (A00–B99)
A54,Gonococcal infection,Male,125.0,Certain infectious and parasitic diseases (A00–B99)
A55,Chlamydial lymphogranuloma (venereum),Male,15.0,Certain infectious and parasitic diseases (A00–B99)
A56,Other sexually transmitted chlamydial diseases,Male,18.0,Certain infectious and parasitic diseases (A00–B99)
A57,Chancroid,Male,1.0,Certain infectious and parasitic diseases (A00–B99)
A59,Trichomoniasis,Male,0.0,Certain infectious and parasitic diseases (A00–B99)
A60,Anogenital herpesviral [herpes simplex] infection,Male,35.0,Certain infectious and parasitic diseases (A00–B99)
A63,"Other predominantly sexually transmitted diseases, not elsewhere classified",Male,643.0,Certain infectious and parasitic diseases (A00–B99)
A64,Unspecified sexually transmitted disease,Male,18.0,Certain infectious and parasitic diseases (A00–B99)
A65,Nonvenereal syphilis,Male,0.0,Certain infectious and parasitic diseases (A00–B99)
A66,Yaws,Male,4.0,Certain infectious and parasitic diseases (A00–B99)
A68,Relapsing fevers,Male,11.0,Certain infectious and parasitic diseases (A00–B99)
A69,Other spirochaetal infections,Male,329.0,Certain infectious and parasitic diseases (A00–B99)
A70,Chlamydia psittaci infection,Male,6.0,Certain infectious and parasitic diseases (A00–B99)
A74,Other diseases caused by chlamydiae,Male,12.0,Certain infectious and parasitic diseases (A00–B99)
A75,Typhus fever,Male,14.0,Certain infectious and parasitic diseases (A00–B99)
A77,Spotted fever [tick-borne rickettsioses],Male,3.0,Certain infectious and parasitic diseases (A00–B99)
A78,Q fever,Male,11.0,Certain infectious and parasitic diseases (A00–B99)
A79,Other rickettsioses,Male,6.0,Certain infectious and parasitic diseases (A00–B99)
A80,Acute poliomyelitis,Male,3.0,Certain infectious and parasitic diseases (A00–B99)
A81,Atypical virus infections of central nervous system,Male,122.0,Certain infectious and parasitic diseases (A00–B99)
A82,Rabies,Male,2.0,Certain infectious and parasitic diseases (A00–B99)
A83,Mosquito-borne viral encephalitis,Male,6.0,Certain infectious and parasitic diseases (A00–B99)
A84,Tick-borne viral encephalitis,Male,12.0,Certain infectious and parasitic diseases (A00–B99)
A85,"Other viral encephalitis, not elsewhere classified",Male,78.0,Certain infectious and parasitic diseases (A00–B99)
A86,Unspecified viral encephalitis,Male,654.0,Certain infectious and parasitic diseases (A00–B99)
A87,Viral meningitis,Male,1797.0,Certain infectious and parasitic diseases (A00–B99)
A88,"Other viral infections of central nervous system, not elsewhere classified",Male,31.0,Certain infectious and parasitic diseases (A00–B99)
A89,Unspecified viral infection of central nervous system,Male,33.0,Certain infectious and parasitic diseases (A00–B99)
A92,Other mosquito-borne viral fevers,Male,15.0,Certain infectious and parasitic diseases (A00–B99)
A93,"Other arthropod-borne viral fevers, not elsewhere classified",Male,3.0,Certain infectious and parasitic diseases (A00–B99)
A94,Unspecified arthropod-borne viral fever,Male,3.0,Certain infectious and parasitic diseases (A00–B99)
A95,Yellow fever,Male,0.0,Certain infectious and parasitic diseases (A00–B99)
A97,Dengue,Male,240.0,Certain infectious and parasitic diseases (A00–B99)
A98,"Other viral haemorrhagic fevers, not elsewhere classified",Male,1.0,Certain infectious and parasitic diseases (A00–B99)
A99,Unspecified viral haemorrhagic fever,Male,5.0,Certain infectious and parasitic diseases (A00–B99)
B00,Herpesviral [herpes simplex] infections,Male,2222.0,Certain infectious and parasitic diseases (A00–B99)
B01,Varicella [chickenpox],Male,2003.0,Certain infectious and parasitic diseases (A00–B99)
B02,Zoster [herpes zoster],Male,2317.0,Certain infectious and parasitic diseases (A00–B99)
B04,Monkeypox,Male,17.0,Certain infectious and parasitic diseases (A00–B99)
B05,Measles,Male,281.0,Certain infectious and parasitic diseases (A00–B99)
B06,Rubella [German measles],Male,1.0,Certain infectious and parasitic diseases (A00–B99)
B07,Viral warts,Male,1628.0,Certain infectious and parasitic diseases (A00–B99)
B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",Male,939.0,Certain infectious and parasitic diseases (A00–B99)
B09,Unspecified viral infection characterized by skin and mucous membrane lesions,Male,611.0,Certain infectious and parasitic diseases (A00–B99)
B15,Acute hepatitis A,Male,375.0,Certain infectious and parasitic diseases (A00–B99)
B16,Acute hepatitis B,Male,170.0,Certain infectious and parasitic diseases (A00–B99)
B17,Other acute viral hepatitis,Male,1207.0,Certain infectious and parasitic diseases (A00–B99)
B18,Chronic viral hepatitis,Male,355.0,Certain infectious and parasitic diseases (A00–B99)
B19,Unspecified viral hepatitis,Male,182.0,Certain infectious and parasitic diseases (A00–B99)
B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,Male,936.0,Certain infectious and parasitic diseases (A00–B99)
B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,Male,368.0,Certain infectious and parasitic diseases (A00–B99)
B22,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,Male,110.0,Certain infectious and parasitic diseases (A00–B99)
B23,Human immunodeficiency virus [HIV] disease resulting in other conditions,Male,301.0,Certain infectious and parasitic diseases (A00–B99)
B24,Unspecified human immunodeficiency virus [HIV] disease,Male,329.0,Certain infectious and parasitic diseases (A00–B99)
B25,Cytomegaloviral disease,Male,423.0,Certain infectious and parasitic diseases (A00–B99)
B26,Mumps,Male,112.0,Certain infectious and parasitic diseases (A00–B99)
B27,Infectious mononucleosis,Male,2424.0,Certain infectious and parasitic diseases (A00–B99)
B30,Viral conjunctivitis,Male,81.0,Certain infectious and parasitic diseases (A00–B99)
B33,"Other viral diseases, not elsewhere classified",Male,106.0,Certain infectious and parasitic diseases (A00–B99)
B34,Viral infection of unspecified site,Male,50357.0,Certain infectious and parasitic diseases (A00–B99)
B35,Dermatophytosis,Male,445.0,Certain infectious and parasitic diseases (A00–B99)
B36,Other superficial mycoses,Male,142.0,Certain infectious and parasitic diseases (A00–B99)
B37,Candidiasis,Male,3386.0,Certain infectious and parasitic diseases (A00–B99)
B38,Coccidioidomycosis,Male,3.0,Certain infectious and parasitic diseases (A00–B99)
B39,Histoplasmosis,Male,24.0,Certain infectious and parasitic diseases (A00–B99)
B41,Paracoccidioidomycosis,Male,2.0,Certain infectious and parasitic diseases (A00–B99)
B42,Sporotrichosis,Male,1.0,Certain infectious and parasitic diseases (A00–B99)
B43,Chromomycosis and phaeomycotic abscess,Male,6.0,Certain infectious and parasitic diseases (A00–B99)
B44,Aspergillosis,Male,967.0,Certain infectious and parasitic diseases (A00–B99)
B45,Cryptococcosis,Male,96.0,Certain infectious and parasitic diseases (A00–B99)
B46,Zygomycosis,Male,11.0,Certain infectious and parasitic diseases (A00–B99)
B47,Mycetoma,Male,18.0,Certain infectious and parasitic diseases (A00–B99)
B48,"Other mycoses, not elsewhere classified",Male,7.0,Certain infectious and parasitic diseases (A00–B99)
B49,Unspecified mycosis,Male,261.0,Certain infectious and parasitic diseases (A00–B99)
B50,Plasmodium falciparum malaria,Male,1424.0,Certain infectious and parasitic diseases (A00–B99)
B51,Plasmodium vivax malaria,Male,112.0,Certain infectious and parasitic diseases (A00–B99)
B52,Plasmodium malariae malaria,Male,24.0,Certain infectious and parasitic diseases (A00–B99)
B53,Other parasitologically confirmed malaria,Male,83.0,Certain infectious and parasitic diseases (A00–B99)
B54,Unspecified malaria,Male,243.0,Certain infectious and parasitic diseases (A00–B99)
B55,Leishmaniasis,Male,117.0,Certain infectious and parasitic diseases (A00–B99)
B56,African trypanosomiasis,Male,0.0,Certain infectious and parasitic diseases (A00–B99)
B58,Toxoplasmosis,Male,32.0,Certain infectious and parasitic diseases (A00–B99)
B59,Pneumocystosis,Male,681.0,Certain infectious and parasitic diseases (A00–B99)
B60,"Other protozoal diseases, not elsewhere classified",Male,21.0,Certain infectious and parasitic diseases (A00–B99)
B65,Schistosomiasis [bilharziasis],Male,63.0,Certain infectious and parasitic diseases (A00–B99)
B66,Other fluke infections,Male,1.0,Certain infectious and parasitic diseases (A00–B99)
B67,Echinococcosis,Male,86.0,Certain infectious and parasitic diseases (A00–B99)
B68,Taeniasis,Male,4.0,Certain infectious and parasitic diseases (A00–B99)
B69,Cysticercosis,Male,16.0,Certain infectious and parasitic diseases (A00–B99)
B70,Diphyllobothriasis and sparganosis,Male,1.0,Certain infectious and parasitic diseases (A00–B99)
B71,Other cestode infections,Male,2.0,Certain infectious and parasitic diseases (A00–B99)
B73,Onchocerciasis,Male,1.0,Certain infectious and parasitic diseases (A00–B99)
B74,Filariasis,Male,3.0,Certain infectious and parasitic diseases (A00–B99)
B76,Hookworm diseases,Male,6.0,Certain infectious and parasitic diseases (A00–B99)
B77,Ascariasis,Male,0.0,Certain infectious and parasitic diseases (A00–B99)
B78,Strongyloidiasis,Male,8.0,Certain infectious and parasitic diseases (A00–B99)
B79,Trichuriasis,Male,2.0,Certain infectious and parasitic diseases (A00–B99)
B80,Enterobiasis,Male,149.0,Certain infectious and parasitic diseases (A00–B99)
B81,"Other intestinal helminthiases, not elsewhere classified",Male,0.0,Certain infectious and parasitic diseases (A00–B99)
