code,description,sex,diagnosis_count
A00,Cholera,Male,9.0
A01,Typhoid and paratyphoid fevers,Male,552.0
A02,Other salmonella infections,Male,1014.0
A03,Shigellosis,Male,424.0
A04,Other bacterial intestinal infections,Male,13214.0
A05,"Other bacterial foodborne intoxications, not elsewhere classified",Male,360.0
A06,Amoebiasis,Male,47.0
A07,Other protozoal intestinal diseases,Male,281.0
A08,Viral and other specified intestinal infections,Male,14013.0
A09,Other gastroenteritis and colitis of infectious and unspecified origin,Male,57354.0
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",Male,1769.0
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",Male,960.0
A17,Tuberculosis of nervous system,Male,222.0
A18,Tuberculosis of other organs,Male,597.0
A19,Miliary tuberculosis,Male,376.0
A21,Tularaemia,Male,3.0
A22,Anthrax,Male,2.0
A23,Brucellosis,Male,11.0
A24,Glanders and melioidosis,Male,6.0
A25,Rat-bite fevers,Male,3.0
A26,Erysipeloid,Male,11.0
A27,Leptospirosis,Male,140.0
A28,"Other zoonotic bacterial diseases, not elsewhere classified",Male,22.0
A30,Leprosy [Hansen disease],Male,4.0
A31,Infection due to other mycobacteria,Male,464.0
A32,Listeriosis,Male,140.0
A35,Other tetanus,Male,16.0
A36,Diphtheria,Male,19.0
A37,Whooping cough,Male,255.0
A38,Scarlet fever,Male,720.0
A39,Meningococcal infection,Male,390.0
A40,Streptococcal sepsis,Male,6107.0
A41,Other sepsis,Male,124333.0
A42,Actinomycosis,Male,33.0
A43,Nocardiosis,Male,23.0
A44,Bartonellosis,Male,1.0
A46,Erysipelas,Male,137.0
A48,"Other bacterial diseases, not elsewhere classified",Male,679.0
A49,Bacterial infection of unspecified site,Male,11083.0
A50,Congenital syphilis,Male,7.0
A51,Early syphilis,Male,100.0
A52,Late syphilis,Male,331.0
A53,Other and unspecified syphilis,Male,95.0
A54,Gonococcal infection,Male,125.0
A55,Chlamydial lymphogranuloma (venereum),Male,15.0
A56,Other sexually transmitted chlamydial diseases,Male,18.0
A57,Chancroid,Male,1.0
A59,Trichomoniasis,Male,0.0
A60,Anogenital herpesviral [herpes simplex] infection,Male,35.0
A63,"Other predominantly sexually transmitted diseases, not elsewhere classified",Male,643.0
A64,Unspecified sexually transmitted disease,Male,18.0
A65,Nonvenereal syphilis,Male,0.0
A66,Yaws,Male,4.0
A68,Relapsing fevers,Male,11.0
A69,Other spirochaetal infections,Male,329.0
A70,Chlamydia psittaci infection,Male,6.0
A74,Other diseases caused by chlamydiae,Male,12.0
A75,Typhus fever,Male,14.0
A77,Spotted fever [tick-borne rickettsioses],Male,3.0
A78,Q fever,Male,11.0
A79,Other rickettsioses,Male,6.0
A80,Acute poliomyelitis,Male,3.0
A81,Atypical virus infections of central nervous system,Male,122.0
A82,Rabies,Male,2.0
A83,Mosquito-borne viral encephalitis,Male,6.0
A84,Tick-borne viral encephalitis,Male,12.0
A85,"Other viral encephalitis, not elsewhere classified",Male,78.0
A86,Unspecified viral encephalitis,Male,654.0
A87,Viral meningitis,Male,1797.0
A88,"Other viral infections of central nervous system, not elsewhere classified",Male,31.0
A89,Unspecified viral infection of central nervous system,Male,33.0
A92,Other mosquito-borne viral fevers,Male,15.0
A93,"Other arthropod-borne viral fevers, not elsewhere classified",Male,3.0
A94,Unspecified arthropod-borne viral fever,Male,3.0
A95,Yellow fever,Male,0.0
A97,Dengue,Male,240.0
A98,"Other viral haemorrhagic fevers, not elsewhere classified",Male,1.0
A99,Unspecified viral haemorrhagic fever,Male,5.0
B00,Herpesviral [herpes simplex] infections,Male,2222.0
B01,Varicella [chickenpox],Male,2003.0
B02,Zoster [herpes zoster],Male,2317.0
B04,Monkeypox,Male,17.0
B05,Measles,Male,281.0
B06,Rubella [German measles],Male,1.0
B07,Viral warts,Male,1628.0
B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",Male,939.0
B09,Unspecified viral infection characterized by skin and mucous membrane lesions,Male,611.0
B15,Acute hepatitis A,Male,375.0
B16,Acute hepatitis B,Male,170.0
B17,Other acute viral hepatitis,Male,1207.0
B18,Chronic viral hepatitis,Male,355.0
B19,Unspecified viral hepatitis,Male,182.0
B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,Male,936.0
B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,Male,368.0
B22,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,Male,110.0
B23,Human immunodeficiency virus [HIV] disease resulting in other conditions,Male,301.0
B24,Unspecified human immunodeficiency virus [HIV] disease,Male,329.0
B25,Cytomegaloviral disease,Male,423.0
B26,Mumps,Male,112.0
B27,Infectious mononucleosis,Male,2424.0
B30,Viral conjunctivitis,Male,81.0
B33,"Other viral diseases, not elsewhere classified",Male,106.0
B34,Viral infection of unspecified site,Male,50357.0
B35,Dermatophytosis,Male,445.0
B36,Other superficial mycoses,Male,142.0
B37,Candidiasis,Male,3386.0
