code,description,sex,diagnosis_count,category
A00-A09,Intestinal infectious diseases,Male,87268,Certain infectious and parasitic diseases (A00–B99)
A15-A19,Tuberculosis,Male,3924,Certain infectious and parasitic diseases (A00–B99)
A20-A28,Certain zoonotic bacterial diseases,Male,198,Certain infectious and parasitic diseases (A00–B99)
A30-A49,Other bacterial diseases,Male,144404,Certain infectious and parasitic diseases (A00–B99)
A50-A64,Infections with a predominantly sexual mode of transmission,Male,1388,Certain infectious and parasitic diseases (A00–B99)
A65-A69,Other spirochaetal diseases,Male,344,Certain infectious and parasitic diseases (A00–B99)
A70-A74,Other diseases caused by chlamydiae,Male,18,Certain infectious and parasitic diseases (A00–B99)
A75-A79,Rickettsioses,Male,34,Certain infectious and parasitic diseases (A00–B99)
A80-A89,Viral infections of the central nervous system,Male,2738,Certain infectious and parasitic diseases (A00–B99)
A92-A99,Arthropod-borne viral fevers & viral haemorrhagic fevers,Male,267,Certain infectious and parasitic diseases (A00–B99)
B00-B09,Viral infections characterized by skin & mucous mem. lesns.,Male,10019,Certain infectious and parasitic diseases (A00–B99)
B15-B19,Viral hepatitis,Male,2289,Certain infectious and parasitic diseases (A00–B99)
B20-B24,Human immunodeficiency virus [HIV] disease,Male,2044,Certain infectious and parasitic diseases (A00–B99)
B25-B34,Other viral diseases,Male,53503,Certain infectious and parasitic diseases (A00–B99)
B35-B49,Mycoses,Male,5369,Certain infectious and parasitic diseases (A00–B99)
B50-B64,Protozoal diseases,Male,2737,Certain infectious and parasitic diseases (A00–B99)
B65-B83,Helminthiases,Male,394,Certain infectious and parasitic diseases (A00–B99)
B85-B89,"Pediculosis, acariasis and other infestations",Male,372,Certain infectious and parasitic diseases (A00–B99)
B95-B98,"Bacterial, viral and other infectious agents",Male,6,Certain infectious and parasitic diseases (A00–B99)
B99-B99,Other infectious and parasitic diseases,Male,10651,Certain infectious and parasitic diseases (A00–B99)
C00-C14,Malignant neoplasm of lip-oral cavity and pharynx,Male,21732,Neoplasms (C00–D48)
C15-C26,Malignant neoplasm of digestive organs,Male,213703,Neoplasms (C00–D48)
C30-C39,Malignant neoplasms of respiratory & intrathoracic organs,Male,67909,Neoplasms (C00–D48)
C40-C41,Malignant neoplasm of bone and articular cartilage,Male,4719,Neoplasms (C00–D48)
C43-C44,Malignant neoplasms of skin,Male,104761,Neoplasms (C00–D48)
