BREAKDOWN,BREAKDOWN_GROUP_1,BREAKDOWN_GROUP_2,TOTAL_COST
Gender and Age Group,Female,0 years,212079
Gender and Age Group,Female,01-04 years,505885
Gender and Age Group,Female,05-09 years,347081
Gender and Age Group,Female,10-14 years,371563
Gender and Age Group,Female,15-19 years,483626
Gender and Age Group,Female,20-24 years,617087
Gender and Age Group,Female,25-29 years,611997
Gender and Age Group,Female,30-34 years,560654
Gender and Age Group,Female,35-39 years,480036
Gender and Age Group,Female,40-44 years,402489
Gender and Age Group,Female,45-49 years,421889
Gender and Age Group,Female,50-54 years,448613
Gender and Age Group,Female,55-59 years,418718
Gender and Age Group,Female,60-64 years,357017
Gender and Age Group,Female,65-69 years,331175
Gender and Age Group,Female,70-74 years,384744
Gender and Age Group,Female,75-79 years,369570
Gender and Age Group,Female,80-84 years,378626
Gender and Age Group,Female,85-89 years,327708
Gender and Age Group,Female,90-94 years,195096
Gender and Age Group,Female,95 years or older,73381
Gender and Age Group,Female,Unknown,92271
Gender and Age Group,Male,0 years,266383
Gender and Age Group,Male,01-04 years,651982
Gender and Age Group,Male,05-09 years,411892
Gender and Age Group,Male,10-14 years,443253
Gender and Age Group,Male,15-19 years,409286
Gender and Age Group,Male,20-24 years,499314
Gender and Age Group,Male,25-29 years,520689
Gender and Age Group,Male,30-34 years,499270
Gender and Age Group,Male,35-39 years,452672
Gender and Age Group,Male,40-44 years,401018
Gender and Age Group,Male,45-49 years,421480
Gender and Age Group,Male,50-54 years,437104
Gender and Age Group,Male,55-59 years,415672
Gender and Age Group,Male,60-64 years,363507
Gender and Age Group,Male,65-69 years,334916
Gender and Age Group,Male,70-74 years,376324
Gender and Age Group,Male,75-79 years,341874
Gender and Age Group,Male,80-84 years,323601
Gender and Age Group,Male,85-89 years,242458
Gender and Age Group,Male,90-94 years,114545
Gender and Age Group,Male,95 years or older,31993
Gender and Age Group,Male,Unknown,89022
Gender and Age Group,Female,0 years,30148770
Gender and Age Group,Female,01-04 years,73303426
Gender and Age Group,Female,05-09 years,49003152
Gender and Age Group,Female,10-14 years,55261204
Gender and Age Group,Female,15-19 years,79355311
Gender and Age Group,Female,20-24 years,101677603
Gender and Age Group,Female,25-29 years,103591677
Gender and Age Group,Female,30-34 years,96833952
Gender and Age Group,Female,35-39 years,85119455
Gender and Age Group,Female,40-44 years,73111612
Gender and Age Group,Female,45-49 years,79541654
Gender and Age Group,Female,50-54 years,86739021
Gender and Age Group,Female,55-59 years,83554003
Gender and Age Group,Female,60-64 years,74921474
Gender and Age Group,Female,65-69 years,74205741
Gender and Age Group,Female,70-74 years,92209066
Gender and Age Group,Female,75-79 years,94937123
Gender and Age Group,Female,80-84 years,104581886
Gender and Age Group,Female,85-89 years,96823888
Gender and Age Group,Female,90-94 years,60486434
Gender and Age Group,Female,95 years or older,23345611
Gender and Age Group,Female,Unknown,16110006
Gender and Age Group,Male,0 years,38597370
Gender and Age Group,Male,01-04 years,95191584
Gender and Age Group,Male,05-09 years,58855565
Gender and Age Group,Male,10-14 years,67069862
Gender and Age Group,Male,15-19 years,68299159
Gender and Age Group,Male,20-24 years,83483710
Gender and Age Group,Male,25-29 years,88653812
Gender and Age Group,Male,30-34 years,87093334
Gender and Age Group,Male,35-39 years,80745741
Gender and Age Group,Male,40-44 years,74135948
Gender and Age Group,Male,45-49 years,80953801
Gender and Age Group,Male,50-54 years,88215789
Gender and Age Group,Male,55-59 years,86921818
Gender and Age Group,Male,60-64 years,80659276
Gender and Age Group,Male,65-69 years,79633763
Gender and Age Group,Male,70-74 years,94195978
Gender and Age Group,Male,75-79 years,90252429
Gender and Age Group,Male,80-84 years,90053985
Gender and Age Group,Male,85-89 years,70865034
Gender and Age Group,Male,90-94 years,34791108
Gender and Age Group,Male,95 years or older,9951869
Gender and Age Group,Male,Unknown,15340742
Gender and Age Group,Female,0 years,49750
Gender and Age Group,Female,01-04 years,101335
Gender and Age Group,Female,05-09 years,64800
Gender and Age Group,Female,10-14 years,57990
Gender and Age Group,Female,15-19 years,72460
Gender and Age Group,Female,20-24 years,115580
Gender and Age Group,Female,25-29 years,133020
Gender and Age Group,Female,30-34 years,122840
Gender and Age Group,Female,35-39 years,103875
Gender and Age Group,Female,40-44 years,87180
Gender and Age Group,Female,45-49 years,83210
Gender and Age Group,Female,50-54 years,85820
Gender and Age Group,Female,55-59 years,77430
Gender and Age Group,Female,60-64 years,64390
Gender and Age Group,Female,65-69 years,55530
Gender and Age Group,Female,70-74 years,57110
Gender and Age Group,Female,75-79 years,53780
Gender and Age Group,Female,80-84 years,54860
Gender and Age Group,Female,85-89 years,45330
Gender and Age Group,Female,90-94 years,26745
Gender and Age Group,Female,95 years or older,10545
Gender and Age Group,Male,0 years,61915
Gender and Age Group,Male,01-04 years,128765
Gender and Age Group,Male,05-09 years,76630
Gender and Age Group,Male,10-14 years,71155
Gender and Age Group,Male,15-19 years,60795
Gender and Age Group,Male,20-24 years,85590
Gender and Age Group,Male,25-29 years,103900
Gender and Age Group,Male,30-34 years,102805
Gender and Age Group,Male,35-39 years,93965
Gender and Age Group,Male,40-44 years,84475
Gender and Age Group,Male,45-49 years,82375
Gender and Age Group,Male,50-54 years,82570
Gender and Age Group,Male,55-59 years,75430
Gender and Age Group,Male,60-64 years,63725
Gender and Age Group,Male,65-69 years,54325
Gender and Age Group,Male,70-74 years,54155
Gender and Age Group,Male,75-79 years,48950
Gender and Age Group,Male,80-84 years,47010
Gender and Age Group,Male,85-89 years,35150
Gender and Age Group,Male,90-94 years,16315
Gender and Age Group,Male,95 years or older,5745
Gender and Age Group,Female,0 years,8761404
Gender and Age Group,Female,01-04 years,18017100
Gender and Age Group,Female,05-09 years,10169321
Gender and Age Group,Female,10-14 years,9870775
Gender and Age Group,Female,15-19 years,13623986
Gender and Age Group,Female,20-24 years,21569161
Gender and Age Group,Female,25-29 years,24946680
Gender and Age Group,Female,30-34 years,23524439
Gender and Age Group,Female,35-39 years,20612417
Gender and Age Group,Female,40-44 years,17674457
Gender and Age Group,Female,45-49 years,17348265
Gender and Age Group,Female,50-54 years,18352649
Gender and Age Group,Female,55-59 years,17022047
Gender and Age Group,Female,60-64 years,14698395
Gender and Age Group,Female,65-69 years,13609999
Gender and Age Group,Female,70-74 years,15226634
Gender and Age Group,Female,75-79 years,15394464
Gender and Age Group,Female,80-84 years,17024359
Gender and Age Group,Female,85-89 years,15104364
Gender and Age Group,Female,90-94 years,9437250
Gender and Age Group,Female,95 years or older,3877364
Gender and Age Group,Female,Unknown,228
Gender and Age Group,Male,0 years,11250522
Gender and Age Group,Male,01-04 years,23376389
Gender and Age Group,Male,05-09 years,12175860
Gender and Age Group,Male,10-14 years,12135646
Gender and Age Group,Male,15-19 years,11562857
Gender and Age Group,Male,20-24 years,16344719
Gender and Age Group,Male,25-29 years,19619206
Gender and Age Group,Male,30-34 years,19782325
Gender and Age Group,Male,35-39 years,18625656
Gender and Age Group,Male,40-44 years,17248763
Gender and Age Group,Male,45-49 years,17559399
Gender and Age Group,Male,50-54 years,18734023
Gender and Age Group,Male,55-59 years,17667478
Gender and Age Group,Male,60-64 years,15844656
Gender and Age Group,Male,65-69 years,14386687
Gender and Age Group,Male,70-74 years,15157518
Gender and Age Group,Male,75-79 years,14465683
Gender and Age Group,Male,80-84 years,14644420
Gender and Age Group,Male,85-89 years,11546033
Gender and Age Group,Male,90-94 years,5568050
Gender and Age Group,Male,95 years or older,1955843
Gender and Age Group,Male,Unknown,1300
Gender and Age Group,Female,0 years,12575
Gender and Age Group,Female,01-04 years,34340
Gender and Age Group,Female,05-09 years,26020
Gender and Age Group,Female,10-14 years,29830
Gender and Age Group,Female,15-19 years,42700
Gender and Age Group,Female,20-24 years,50665
Gender and Age Group,Female,25-29 years,46250
Gender and Age Group,Female,30-34 years,40545
Gender and Age Group,Female,35-39 years,35310
Gender and Age Group,Female,40-44 years,30125
Gender and Age Group,Female,45-49 years,33120
Gender and Age Group,Female,50-54 years,36940
Gender and Age Group,Female,55-59 years,35345
Gender and Age Group,Female,60-64 years,30875
Gender and Age Group,Female,65-69 years,29985
Gender and Age Group,Female,70-74 years,36820
Gender and Age Group,Female,75-79 years,34875
